ANSC*1210,0 / 16,LEC Tues  Thur 04:00PM - 05:20PM AD-S  Room Virtual SEM Thur 10:00AM - 11:20AM AD-S  Room Virtual EXAM Tues 08:30AM - 10:30AM (2021/04/27) Room TBA,"R. Bergeron, A. Harlander"
ANSC*1210,0 / 16,LEC Tues  Thur 04:00PM - 05:20PM AD-S  Room Virtual SEM Wed 01:00PM - 02:20PM AD-S  Room Virtual EXAM Tues 08:30AM - 10:30AM (2021/04/27) Room TBA,"R. Bergeron, A. Harlander"
ANSC*1210,0 / 16,LEC Tues  Thur 04:00PM - 05:20PM AD-S  Room Virtual SEM Mon 07:00PM - 08:20PM AD-S  Room Virtual EXAM Tues 08:30AM - 10:30AM (2021/04/27) Room TBA,"R. Bergeron, A. Harlander"
ANSC*1210,0 / 0,LEC Tues  Thur 04:00PM - 05:20PM AD-S  Room Virtual SEM Wed 08:30AM - 09:50AM AD-S  Room Virtual EXAM Tues 08:30AM - 10:30AM (2021/04/27) Room TBA,"R. Bergeron, A. Harlander"
ANSC*1210,0 / 16,LEC Tues  Thur 04:00PM - 05:20PM AD-S  Room Virtual SEM Tues 11:30AM - 12:50PM AD-S  Room Virtual EXAM Tues 08:30AM - 10:30AM (2021/04/27) Room TBA,"R. Bergeron, A. Harlander"
ANSC*1210,0 / 16,LEC Tues  Thur 04:00PM - 05:20PM AD-S  Room Virtual SEM Wed 11:30AM - 12:50PM AD-S  Room Virtual EXAM Tues 08:30AM - 10:30AM (2021/04/27) Room TBA,"R. Bergeron, A. Harlander"
ANSC*1210,0 / 16,LEC Tues  Thur 04:00PM - 05:20PM AD-S  Room Virtual SEM Thur 07:00PM - 08:20PM AD-S  Room Virtual EXAM Tues 08:30AM - 10:30AM (2021/04/27) Room TBA,"R. Bergeron, A. Harlander"
ANSC*1210,0 / 9,LEC Tues  Thur 04:00PM - 05:20PM AD-S  Room Virtual SEM Mon 08:30AM - 09:50AM AD-S  Room Virtual EXAM Tues 08:30AM - 10:30AM (2021/04/27) Room TBA,"R. Bergeron, A. Harlander"
ANSC*1210,0 / 16,LEC Tues  Thur 04:00PM - 05:20PM AD-S  Room Virtual SEM Wed 04:00PM - 05:20PM AD-S  Room Virtual EXAM Tues 08:30AM - 10:30AM (2021/04/27) Room TBA,"R. Bergeron, A. Harlander"
ANSC*1210,0 / 16,LEC Tues  Thur 04:00PM - 05:20PM AD-S  Room Virtual SEM Thur 08:30AM - 09:50AM AD-S  Room Virtual EXAM Tues 08:30AM - 10:30AM (2021/04/27) Room TBA,"R. Bergeron, A. Harlander"
ANSC*1210,0 / 16,LEC Tues  Thur 04:00PM - 05:20PM AD-S  Room Virtual SEM Tues 01:00PM - 02:20PM AD-S  Room Virtual EXAM Tues 08:30AM - 10:30AM (2021/04/27) Room TBA,"R. Bergeron, A. Harlander"
ANSC*1210,0 / 16,LEC Tues  Thur 04:00PM - 05:20PM AD-S  Room Virtual SEM Tues 08:30AM - 09:50AM AD-S  Room Virtual EXAM Tues 08:30AM - 10:30AM (2021/04/27) Room TBA,"R. Bergeron, A. Harlander"
ANSC*1210,0 / 10,LEC Tues  Thur 04:00PM - 05:20PM AD-S  Room VIRTUAL SEM Wed 01:00PM - 02:20PM AD-S  Room VIRTUAL EXAM Tues 08:30AM - 10:30AM (2021/04/27) Room TBA,"A. Harlander, R. Bergeron"
ANSC*1210,0 / 10,LEC Tues  Thur 04:00PM - 05:20PM AD-S  Room VIRTUAL SEM Tues 11:30AM - 12:50PM AD-S  Room VIRTUAL EXAM Tues 08:30AM - 10:30AM (2021/04/27) Room TBA,"A. Harlander, R. Bergeron"
ANSC*2340,1 / 280,LEC Mon  Wed  Fri 02:30PM - 03:20PM AD-S  Room Virtual EXAM Wed 08:30AM - 10:30AM (2021/04/21) Room TBA,I. Mandell
ANSC*3040,0 / 38,LEC Mon  Wed  Fri 01:30PM - 02:20PM AD-S  Room Virtual LAB Tues 10:00AM - 11:20AM AD-S  Room Virtual EXAM Mon 08:30AM - 10:30AM (2021/04/19) Room TBA,E. De Souza Ribeiro
